acc,ClusterID,clustid_key,proteinname,genename,geneid
P40926,291,291_P40926,"""Malate dehydrogenase, mitochondrial""",MDH2,4191
Q96FJ0,291,291_Q96FJ0,AMSH-like protease,STAMBPL1,57559
P82933,292,292_P82933,"""28S ribosomal protein S9, mitochondrial""",MRPS9,64965
Q96EY7,292,292_Q96EY7,"""Pentatricopeptide repeat domain-containing protein 3, mitochondrial""",PTCD3,55037
Q96DM3,293,293_Q96DM3,Uncharacterized protein C18orf8,C18orf8,29919
Q9BTE6,293,293_Q9BTE6,Alanyl-tRNA editing protein Aarsd1,AARSD1,100885850
Q96D46,294,294_Q96D46,60S ribosomal export protein NMD3,NMD3,51068
Q99426,294,294_Q99426,Tubulin-folding cofactor B,TBCB,1155
Q96BY6,295,295_Q96BY6,Dedicator of cytokinesis protein 10,DOCK10,55619
Q9Y3L3,295,295_Q9Y3L3,SH3 domain-binding protein 1,SH3BP1,23616
P39687,296,296_P39687,Acidic leucine-rich nuclear phosphoprotein 32 family member A,ANP32A,8125
Q96B54,296,296_Q96B54,Zinc finger protein 428,ZNF428,126299
Q13724,297,297_Q13724,Mannosyl-oligosaccharide glucosidase,MOGS,7841
Q92930,297,297_Q92930,Ras-related protein Rab-8B,RAB8B,51762
Q8TAT6,298,298_Q8TAT6,Nuclear protein localization protein 4 homolog,NPLOC4,55666
Q92890,298,298_Q92890,Ubiquitin fusion degradation protein 1 homolog,UFD1L,7353
P23588,299,299_P23588,Eukaryotic translation initiation factor 4B,EIF4B,1975
Q92888,299,299_Q92888,Rho guanine nucleotide exchange factor 1,ARHGEF1,9138
P17987,3,3_P17987,T-complex protein 1 subunit alpha,TCP1,6950
P19838,3,3_P19838,Nuclear factor NF-kappa-B p105 subunit,NFKB1,4790
P40227,3,3_P40227,T-complex protein 1 subunit zeta,CCT6A,908
P48643,3,3_P48643,T-complex protein 1 subunit epsilon,CCT5,22948
P49368,3,3_P49368,T-complex protein 1 subunit gamma,CCT3,7203
P50990,3,3_P50990,T-complex protein 1 subunit theta,CCT8,10694
P50991,3,3_P50991,T-complex protein 1 subunit delta,CCT4,10575
P78371,3,3_P78371,T-complex protein 1 subunit beta,CCT2,10576
Q00653,3,3_Q00653,Nuclear factor NF-kappa-B p100 subunit,NFKB2,4791
Q13557,3,3_Q13557,Calcium/calmodulin-dependent protein kinase type II subunit delta,CAMK2D,817
Q8NF50,3,3_Q8NF50,Dedicator of cytokinesis protein 8,DOCK8,81704
Q99832,3,3_Q99832,T-complex protein 1 subunit eta,CCT7,10574
P06729,30,30_P06729,T-cell surface antigen CD2,CD2,914
Q92643,30,30_Q92643,GPI-anchor transamidase,PIGK,10026
Q96S52,30,30_Q96S52,GPI transamidase component PIG-S,PIGS,94005
Q9BQA9,30,30_Q9BQA9,Uncharacterized protein C17orf62,C17orf62,79415
Q9Y320,30,30_Q9Y320,Thioredoxin-related transmembrane protein 2,TMX2,51075
Q92882,300,300_Q92882,Osteoclast-stimulating factor 1,OSTF1,26578
Q9BS26,300,300_Q9BS26,Endoplasmic reticulum resident protein 44,ERP44,23071
O95881,301,301_O95881,Thioredoxin domain-containing protein 12,TXNDC12,51060
Q92623,301,301_Q92623,Tetratricopeptide repeat protein 9A,TTC9,23508
Q92556,302,302_Q92556,Engulfment and cell motility protein 1,ELMO1,9844
Q92608,302,302_Q92608,Dedicator of cytokinesis protein 2,DOCK2,1794
O60234,303,303_O60234,Glia maturation factor gamma,GMFG,9535
Q8WW59,303,303_Q8WW59,SPRY domain-containing protein 4,SPRYD4,283377
O75347,304,304_O75347,Tubulin-specific chaperone A,TBCA,6902
Q8WVJ2,304,304_Q8WVJ2,NudC domain-containing protein 2,NUDCD2,134492
Q8WV92,305,305_Q8WV92,MIT domain-containing protein 1,MITD1,129531
Q9NRN9,305,305_Q9NRN9,Methyltransferase-like protein 5,METTL5,29081
P18206,306,306_P18206,Vinculin,VCL,7414
Q8WUM4,306,306_Q8WUM4,Programmed cell death 6-interacting protein,PDCD6IP,10015
O15541,307,307_O15541,RING finger protein 113A,RNF113A,7737
Q8WUB8,307,307_Q8WUB8,PHD finger protein 10,PHF10,55274
Q8N7H5,308,308_Q8N7H5,RNA polymerase II-associated factor 1 homolog,PAF1,54623
Q8WVC0,308,308_Q8WVC0,RNA polymerase-associated protein LEO1,LEO1,123169
Q8N3D4,309,309_Q8N3D4,EH domain-binding protein 1-like protein 1,EHBP1L1,254102
Q9Y3P9,309,309_Q9Y3P9,Rab GTPase-activating protein 1,RABGAP1,23637
Q8N6H7,31,31_Q8N6H7,ADP-ribosylation factor GTPase-activating protein 2,ARFGAP2,84364
Q96HY7,31,31_Q96HY7,"""Probable 2-oxoglutarate dehydrogenase E1 component DHKTD1, mitochondrial""",DHTKD1,55526
Q9NP79,31,31_Q9NP79,Vacuolar protein sorting-associated protein VTA1 homolog,VTA1,51534
Q9NQG5,31,31_Q9NQG5,Regulation of nuclear pre-mRNA domain-containing protein 1B,RPRD1B,58490
Q9UEW8,31,31_Q9UEW8,STE20/SPS1-related proline-alanine-rich protein kinase,STK39,27347
Q8N163,310,310_Q8N163,Cell cycle and apoptosis regulator protein 2,CCAR2,57805
Q92878,310,310_Q92878,DNA repair protein RAD50,RAD50,10111
O00193,311,311_O00193,Small acidic protein,SMAP,10944
Q8IXQ4,311,311_Q8IXQ4,GPALPP motifs-containing protein 1,GPALPP1,55425
Q16540,312,312_Q16540,"""39S ribosomal protein L23, mitochondrial""",MRPL23,6150
Q8IXM3,312,312_Q8IXM3,"""39S ribosomal protein L41, mitochondrial""",MRPL41,64975
Q16698,313,313_Q16698,"""2,4-dienoyl-CoA reductase, mitochondrial""",DECR1,1666
Q8IXM2,313,313_Q8IXM2,Chromatin complexes subunit BAP18,BAP18,124944
P53602,314,314_P53602,Diphosphomevalonate decarboxylase,MVD,4597
Q8IW45,314,314_Q8IW45,ATP-dependent (S)-NAD(P)H-hydrate dehydratase,CARKD,55739
P01732,315,315_P01732,T-cell surface glycoprotein CD8 alpha chain,CD8A,925
Q86WV6,315,315_Q86WV6,Stimulator of interferon genes protein,TMEM173,340061
Q86UX7,316,316_Q86UX7,Fermitin family homolog 3,FERMT3,83706
Q8NBS9,316,316_Q8NBS9,Thioredoxin domain-containing protein 5,TXNDC5,81567
Q86TI2,317,317_Q86TI2,Dipeptidyl peptidase 9,DPP9,91039
Q9GZT8,317,317_Q9GZT8,Putative GTP cyclohydrolase 1 type 2 NIF3L1,NIF3L1,60491
Q7Z6M1,318,318_Q7Z6M1,Rab9 effector protein with kelch motifs,RABEPK,10244
Q9BRT3,318,318_Q9BRT3,Migration and invasion enhancer 1,MIEN1,84299
O43704,319,319_O43704,Sulfotransferase family cytosolic 1B member 1,SULT1B1,27284
Q7Z4W1,319,319_Q7Z4W1,L-xylulose reductase,DCXR,51181
P20340,32,32_P20340,Ras-related protein Rab-6A,RAB6A,5870
P61026,32,32_P61026,Ras-related protein Rab-10,RAB10,10890
Q15005,32,32_Q15005,Signal peptidase complex subunit 2,SPCS2,9789
Q15629,32,32_Q15629,Translocating chain-associated membrane protein 1,TRAM1,23471
Q9UM00,32,32_Q9UM00,Transmembrane and coiled-coil domain-containing protein 1,TMCO1,54499
Q7Z434,320,320_Q7Z434,Mitochondrial antiviral-signaling protein,MAVS,57506
Q9BWM7,320,320_Q9BWM7,Sideroflexin-3,SFXN3,81855
P37198,321,321_P37198,Nuclear pore glycoprotein p62,NUP62,23636
Q7Z3B4,321,321_Q7Z3B4,Nucleoporin p54,NUP54,53371
Q7L0Y3,322,322_Q7L0Y3,Mitochondrial ribonuclease P protein 1,TRMT10C,54931
Q9UN86,322,322_Q9UN86,Ras GTPase-activating protein-binding protein 2,G3BP2,9908
P22314,323,323_P22314,Ubiquitin-like modifier-activating enzyme 1,UBA1,7317
Q7KZF4,323,323_Q7KZF4,Staphylococcal nuclease domain-containing protein 1,SND1,27044
Q6ZMZ3,324,324_Q6ZMZ3,Nesprin-3,SYNE3,161176
Q9HD20,324,324_Q9HD20,Manganese-transporting ATPase 13A1,ATP13A1,57130
P61088,325,325_P61088,Ubiquitin-conjugating enzyme E2 N,UBE2N,7334
Q6UXN9,325,325_Q6UXN9,WD repeat-containing protein 82,WDR82,80335
P46379,326,326_P46379,Large proline-rich protein BAG6,BAG6,7917
Q63HN8,326,326_Q63HN8,E3 ubiquitin-protein ligase RNF213,RNF213,57674
O95433,327,327_O95433,Activator of 90 kDa heat shock protein ATPase homolog 1,AHSA1,10598
Q4G0N4,327,327_Q4G0N4,"""NAD kinase 2, mitochondrial""",NADK2,133686
Q2M2I8,328,328_Q2M2I8,AP2-associated protein kinase 1,AAK1,22848
Q6ZSR9,328,328_Q6ZSR9,Uncharacterized protein FLJ45252,Q6ZSR9,
Q16851,329,329_Q16851,UTP--glucose-1-phosphate uridylyltransferase,UGP2,7360
Q9ULA0,329,329_Q9ULA0,Aspartyl aminopeptidase,DNPEP,23549
P21796,33,33_P21796,Voltage-dependent anion-selective channel protein 1,VDAC1,7416
P35232,33,33_P35232,Prohibitin,PHB,5245
Q13423,33,33_Q13423,"""NAD(P) transhydrogenase, mitochondrial""",NNT,23530
Q14739,33,33_Q14739,Lamin-B receptor,LBR,3930
Q9Y277,33,33_Q9Y277,Voltage-dependent anion-selective channel protein 3,VDAC3,7419
Q16740,330,330_Q16740,"""ATP-dependent Clp protease proteolytic subunit, mitochondrial""",CLPP,8192
Q2TAL8,330,330_Q2TAL8,Glutamine-rich protein 1,QRICH1,54870
P05198,331,331_P05198,Eukaryotic translation initiation factor 2 subunit 1,EIF2S1,1965
Q16666,331,331_Q16666,Gamma-interferon-inducible protein 16,IFI16,3428
P30837,332,332_P30837,"""Aldehyde dehydrogenase X, mitochondrial""",ALDH1B1,219
Q16566,332,332_Q16566,Calcium/calmodulin-dependent protein kinase type IV,CAMK4,814
P05455,333,333_P05455,Lupus La protein,SSB,6741
Q16531,333,333_Q16531,DNA damage-binding protein 1,DDB1,1642
P32322,334,334_P32322,"""Pyrroline-5-carboxylate reductase 1, mitochondrial""",PYCR1,5831
Q15942,334,334_Q15942,Zyxin,ZYX,7791
P26599,335,335_P26599,Polypyrimidine tract-binding protein 1,PTBP1,5725
Q15717,335,335_Q15717,ELAV-like protein 1,ELAVL1,1994
O95319,336,336_O95319,CUGBP Elav-like family member 2,CELF2,10659
Q15637,336,336_Q15637,Splicing factor 1,SF1,7536
P50914,337,337_P50914,60S ribosomal protein L14,RPL14,9045
Q15397,337,337_Q15397,Pumilio domain-containing protein KIAA0020,KIAA0020,9933
Q00577,338,338_Q00577,Transcriptional activator protein Pur-alpha,PURA,5813
Q15393,338,338_Q15393,Splicing factor 3B subunit 3,SF3B3,23450
Q15366,339,339_Q15366,Poly(rC)-binding protein 2,PCBP2,5094
Q99439,339,339_Q99439,Calponin-2,CNN2,1265
P12004,34,34_P12004,Proliferating cell nuclear antigen,PCNA,5111
Q07955,34,34_Q07955,Serine/arginine-rich splicing factor 1,SRSF1,6426
Q13247,34,34_Q13247,Serine/arginine-rich splicing factor 6,SRSF6,6431
Q9NYF8,34,34_Q9NYF8,Bcl-2-associated transcription factor 1,BCLAF1,9774
Q9Y2W1,34,34_Q9Y2W1,Thyroid hormone receptor-associated protein 3,THRAP3,9967
P57721,340,340_P57721,Poly(rC)-binding protein 3,PCBP3,54039
Q15366,340,340_Q15366,Poly(rC)-binding protein 2,PCBP2,5094
Q15269,341,341_Q15269,Periodic tryptophan protein 2 homolog,PWP2,102724159
Q8NI36,341,341_Q8NI36,WD repeat-containing protein 36,WDR36,134430
Q15172,342,342_Q15172,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform,PPP2R5A,5525
Q9NYB0,342,342_Q9NYB0,Telomeric repeat-binding factor 2-interacting protein 1,TERF2IP,54386
Q14151,343,343_Q14151,Scaffold attachment factor B2,SAFB2,9667
Q15007,343,343_Q15007,Pre-mRNA-splicing regulator WTAP,WTAP,9589
Q15003,344,344_Q15003,Condensin complex subunit 2,NCAPH,23397
Q9NTJ3,344,344_Q9NTJ3,Structural maintenance of chromosomes protein 4,SMC4,10051
O60216,345,345_O60216,Double-strand-break repair protein rad21 homolog,RAD21,5885
Q14683,345,345_Q14683,Structural maintenance of chromosomes protein 1A,SMC1A,8243
Q14574,346,346_Q14574,Desmocollin-3,DSC3,1825
Q15517,346,346_Q15517,Corneodesmosin,CDSN,1041
P35659,347,347_P35659,Protein DEK,DEK,7913
Q14331,347,347_Q14331,Protein FRG1,FRG1,2483
Q14320,348,348_Q14320,Protein FAM50A,FAM50A,9130
Q9BY42,348,348_Q9BY42,Protein RTF2 homolog,RTFDC1,51507
Q14008,349,349_Q14008,Cytoskeleton-associated protein 5,CKAP5,9793
Q9BY44,349,349_Q9BY44,Eukaryotic translation initiation factor 2A,EIF2A,83939
P19784,35,35_P19784,Casein kinase II subunit alpha',CSNK2A2,1459
P67870,35,35_P67870,Casein kinase II subunit beta,CSNK2B,1460
P68400,35,35_P68400,Casein kinase II subunit alpha,CSNK2A1,1457
Q14978,35,35_Q14978,Nucleolar and coiled-body phosphoprotein 1,NOLC1,9221
Q15020,35,35_Q15020,Squamous cell carcinoma antigen recognized by T-cells 3,SART3,9733
Q13287,350,350_Q13287,N-myc-interactor,NMI,9111
Q13952,350,350_Q13952,Nuclear transcription factor Y subunit gamma,NFYC,4802
Q01082,351,351_Q01082,"""Spectrin beta chain, non-erythrocytic 1""",SPTBN1,6711
Q13813,351,351_Q13813,"""Spectrin alpha chain, non-erythrocytic 1""",SPTAN1,6709
Q13724,352,352_Q13724,Mannosyl-oligosaccharide glucosidase,MOGS,7841
Q96JB5,352,352_Q96JB5,CDK5 regulatory subunit-associated protein 3,CDK5RAP3,80279
P63000,353,353_P63000,Ras-related C3 botulinum toxin substrate 1,RAC1,5879
Q13642,353,353_Q13642,Four and a half LIM domains protein 1,FHL1,2273
Q13404,354,354_Q13404,Ubiquitin-conjugating enzyme E2 variant 1,UBE2V1,387522
Q15819,354,354_Q15819,Ubiquitin-conjugating enzyme E2 variant 2,UBE2V2,7336
P11940,355,355_P11940,Polyadenylate-binding protein 1,PABPC1,26986
Q13310,355,355_Q13310,Polyadenylate-binding protein 4,PABPC4,8761
P26358,356,356_P26358,DNA (cytosine-5)-methyltransferase 1,DNMT1,1786
Q13283,356,356_Q13283,Ras GTPase-activating protein-binding protein 1,G3BP1,10146
O14979,357,357_O14979,Heterogeneous nuclear ribonucleoprotein D-like,HNRNPDL,9987
Q13151,357,357_Q13151,Heterogeneous nuclear ribonucleoprotein A0,HNRNPA0,10949
P55265,358,358_P55265,Double-stranded RNA-specific adenosine deaminase,ADAR,103
Q13148,358,358_Q13148,TAR DNA-binding protein 43,TARDBP,23435
Q05048,359,359_Q05048,Cleavage stimulation factor subunit 1,CSTF1,1477
Q12996,359,359_Q12996,Cleavage stimulation factor subunit 3,CSTF3,1479
O95865,36,36_O95865,"""N(G),N(G)-dimethylarginine dimethylaminohydrolase 2""",DDAH2,23564
P14550,36,36_P14550,Alcohol dehydrogenase [NADP(+)],AKR1A1,10327
P20073,36,36_P20073,Annexin A7,ANXA7,310
P53004,36,36_P53004,Biliverdin reductase A,BLVRA,644
Q99497,36,36_Q99497,Protein DJ-1,PARK7,11315
Q12905,360,360_Q12905,Interleukin enhancer-binding factor 2,ILF2,3608
Q12906,360,360_Q12906,Interleukin enhancer-binding factor 3,ILF3,3609
Q12874,361,361_Q12874,Splicing factor 3A subunit 3,SF3A3,10946
Q13428,361,361_Q13428,Treacle protein,TCOF1,6949
Q12846,362,362_Q12846,Syntaxin-4,STX4,6810
Q14165,362,362_Q14165,Malectin,MLEC,9761
Q12768,363,363_Q12768,WASH complex subunit strumpellin,KIAA0196,9897
Q2M389,363,363_Q2M389,WASH complex subunit 7,KIAA1033,23325
Q08881,364,364_Q08881,Tyrosine-protein kinase ITK/TSK,ITK,3702
Q14554,364,364_Q14554,Protein disulfide-isomerase A5,PDIA5,10954
O43390,365,365_O43390,Heterogeneous nuclear ribonucleoprotein R,HNRNPR,10236
Q08211,365,365_Q08211,ATP-dependent RNA helicase A,DHX9,1660
Q06124,366,366_Q06124,Tyrosine-protein phosphatase non-receptor type 11,PTPN11,5781
Q9H4Z3,366,366_Q9H4Z3,Phosphorylated CTD-interacting factor 1,PCIF1,63935
Q04323,367,367_Q04323,UBX domain-containing protein 1,UBXN1,51035
Q9Y2Z4,367,367_Q9Y2Z4,"""Tyrosine--tRNA ligase, mitochondrial""",YARS2,51067
P52701,368,368_P52701,DNA mismatch repair protein Msh6,MSH6,2956
Q01813,368,368_Q01813,"""ATP-dependent 6-phosphofructokinase, platelet type""",PFKP,5214
P82650,369,369_P82650,"""28S ribosomal protein S22, mitochondrial""",MRPS22,56945
Q92552,369,369_Q92552,"""28S ribosomal protein S27, mitochondrial""",MRPS27,23107
P51148,37,37_P51148,Ras-related protein Rab-5C,RAB5C,5878
P61026,37,37_P61026,Ras-related protein Rab-10,RAB10,10890
Q15005,37,37_Q15005,Signal peptidase complex subunit 2,SPCS2,9789
Q92930,37,37_Q92930,Ras-related protein Rab-8B,RAB8B,51762
Q9UM00,37,37_Q9UM00,Transmembrane and coiled-coil domain-containing protein 1,TMCO1,54499
P78560,370,370_P78560,Death domain-containing protein CRADD,CRADD,8738
Q9H2H8,370,370_Q9H2H8,Peptidyl-prolyl cis-trans isomerase-like 3,PPIL3,53938
P63261,371,371_P63261,"""Actin, cytoplasmic 2""",ACTG1,71
Q13185,371,371_Q13185,Chromobox protein homolog 3,CBX3,11335
P58546,372,372_P58546,Myotrophin,MTPN,136319
P62993,372,372_P62993,Growth factor receptor-bound protein 2,GRB2,2885
P62834,373,373_P62834,Ras-related protein Rap-1A,RAP1A,5906
Q9Y512,373,373_Q9Y512,Sorting and assembly machinery component 50 homolog,SAMM50,25813
P62820,374,374_P62820,Ras-related protein Rab-1A,RAB1A,5861
Q92544,374,374_Q92544,Transmembrane 9 superfamily member 4,TM9SF4,9777
P62633,375,375_P62633,Cellular nucleic acid-binding protein,CNBP,7555
Q9UKV8,375,375_Q9UKV8,Protein argonaute-2,AGO2,27161
P62314,376,376_P62314,Small nuclear ribonucleoprotein Sm D1,SNRPD1,6632
P62316,376,376_P62316,Small nuclear ribonucleoprotein Sm D2,SNRPD2,6633
P62304,377,377_P62304,Small nuclear ribonucleoprotein E,SNRPE,6635
P62306,377,377_P62306,Small nuclear ribonucleoprotein F,SNRPF,6636
P62241,378,378_P62241,40S ribosomal protein S8,RPS8,6202
P62979,378,378_P62979,Ubiquitin-40S ribosomal protein S27a,RPS27A,6233
P62158,379,379_P62158,Calmodulin,CALM1,
Q14240,379,379_Q14240,Eukaryotic initiation factor 4A-II,EIF4A2,1974
P09211,38,38_P09211,Glutathione S-transferase P,GSTP1,2950
P40121,38,38_P40121,Macrophage-capping protein,CAPG,822
P49773,38,38_P49773,Histidine triad nucleotide-binding protein 1,HINT1,3094
Q13951,38,38_Q13951,Core-binding factor subunit beta,CBFB,865
Q9BX68,38,38_Q9BX68,"""Histidine triad nucleotide-binding protein 2, mitochondrial""",HINT2,84681
P60953,380,380_P60953,Cell division control protein 42 homolog,CDC42,998
P61586,380,380_P61586,Transforming protein RhoA,RHOA,387
P61019,381,381_P61019,Ras-related protein Rab-2A,RAB2A,5862
Q14318,381,381_Q14318,Peptidyl-prolyl cis-trans isomerase FKBP8,FKBP8,23770
P57737,382,382_P57737,Coronin-7,CORO7,79585
Q9NYU2,382,382_Q9NYU2,UDP-glucose:glycoprotein glucosyltransferase 1,UGGT1,56886
P55786,383,383_P55786,Puromycin-sensitive aminopeptidase,NPEPPS,9520
Q8N1K5,383,383_Q8N1K5,Protein THEMIS,THEMIS,387357
O96019,384,384_O96019,Actin-like protein 6A,ACTL6A,86
P55735,384,384_P55735,Protein SEC13 homolog,SEC13,6396
O43399,385,385_O43399,Tumor protein D54,TPD52L2,7165
P55327,385,385_P55327,Tumor protein D52,TPD52,7163
P00441,386,386_P00441,Superoxide dismutase [Cu-Zn],SOD1,6647
P55263,386,386_P55263,Adenosine kinase,ADK,132
P54920,387,387_P54920,Alpha-soluble NSF attachment protein,NAPA,8775
Q96GG9,387,387_Q96GG9,DCN1-like protein 1,DCUN1D1,54165
P34932,388,388_P34932,Heat shock 70 kDa protein 4,HSPA4,3308
P54886,388,388_P54886,Delta-1-pyrroline-5-carboxylate synthase,ALDH18A1,5832
P52566,389,389_P52566,Rho GDP-dissociation inhibitor 2,ARHGDIB,397
Q96FV2,389,389_Q96FV2,Secernin-2,SCRN2,90507
P49441,39,39_P49441,Inositol polyphosphate 1-phosphatase,INPP1,3628
Q12972,39,39_Q12972,Nuclear inhibitor of protein phosphatase 1,PPP1R8,5511
Q13057,39,39_Q13057,Bifunctional coenzyme A synthase,COASY,80347
Q96C19,39,39_Q96C19,EF-hand domain-containing protein D2,EFHD2,79180
Q96HE7,39,39_Q96HE7,ERO1-like protein alpha,ERO1L,30001
P52565,390,390_P52565,Rho GDP-dissociation inhibitor 1,ARHGDIA,396
Q9UGI8,390,390_Q9UGI8,Testin,TES,26136
P51398,391,391_P51398,"""28S ribosomal protein S29, mitochondrial""",DAP3,7818
Q96DV4,391,391_Q96DV4,"""39S ribosomal protein L38, mitochondrial""",MRPL38,64978
P51148,392,392_P51148,Ras-related protein Rab-5C,RAB5C,5878
Q12907,392,392_Q12907,Vesicular integral-membrane protein VIP36,LMAN2,10960
P23284,393,393_P23284,Peptidyl-prolyl cis-trans isomerase B,PPIB,5479
P50579,393,393_P50579,Methionine aminopeptidase 2,METAP2,10988
P50552,394,394_P50552,Vasodilator-stimulated phosphoprotein,VASP,7408
Q9UI08,394,394_Q9UI08,Ena/VASP-like protein,EVL,51466
P09326,395,395_P09326,CD48 antigen,CD48,962
P49795,395,395_P49795,Regulator of G-protein signaling 19,RGS19,10287
P37108,396,396_P37108,Signal recognition particle 14 kDa protein,SRP14,6727
P49458,396,396_P49458,Signal recognition particle 9 kDa protein,SRP9,6726
P49327,397,397_P49327,Fatty acid synthase,FASN,2194
Q92835,397,397_Q92835,"""Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1""",INPP5D,3635
P49023,398,398_P49023,Paxillin,PXN,5829
Q9Y266,398,398_Q9Y266,Nuclear migration protein nudC,NUDC,10726
P48735,399,399_P48735,"""Isocitrate dehydrogenase [NADP], mitochondrial""",IDH2,3418
Q9UGI8,399,399_Q9UGI8,Testin,TES,26136
O00231,4,4_O00231,26S proteasome non-ATPase regulatory subunit 11,PSMD11,5717
O00232,4,4_O00232,26S proteasome non-ATPase regulatory subunit 12,PSMD12,5718
O00487,4,4_O00487,26S proteasome non-ATPase regulatory subunit 14,PSMD14,10213
O43242,4,4_O43242,26S proteasome non-ATPase regulatory subunit 3,PSMD3,5709
P35998,4,4_P35998,26S protease regulatory subunit 7,PSMC2,5701
P48556,4,4_P48556,26S proteasome non-ATPase regulatory subunit 8,PSMD8,5714
P51665,4,4_P51665,26S proteasome non-ATPase regulatory subunit 7,PSMD7,5713
P62191,4,4_P62191,26S protease regulatory subunit 4,PSMC1,5700
Q13045,4,4_Q13045,Protein flightless-1 homolog,FLII,2314
Q15008,4,4_Q15008,26S proteasome non-ATPase regulatory subunit 6,PSMD6,9861
Q99460,4,4_Q99460,26S proteasome non-ATPase regulatory subunit 1,PSMD1,5707
Q9UNM6,4,4_Q9UNM6,26S proteasome non-ATPase regulatory subunit 13,PSMD13,5719
P36542,40,40_P36542,"""ATP synthase subunit gamma, mitochondrial""",ATP5C1,509
P36957,40,40_P36957,"""Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial""",DLST,1743
P43243,40,40_P43243,Matrin-3,MATR3,9782
Q02218,40,40_Q02218,"""2-oxoglutarate dehydrogenase, mitochondrial""",OGDH,4967
Q1KMD3,40,40_Q1KMD3,Heterogeneous nuclear ribonucleoprotein U-like protein 2,HNRNPUL2,221092
P31947,400,400_P31947,14-3-3 protein sigma,SFN,2810
P48594,400,400_P48594,Serpin B4,SERPINB4,6318
P29508,401,401_P29508,Serpin B3,SERPINB3,6317
P48594,401,401_P48594,Serpin B4,SERPINB4,6318
P48506,402,402_P48506,Glutamate--cysteine ligase catalytic subunit,GCLC,2729
Q6FI81,402,402_Q6FI81,Anamorsin,CIAPIN1,57019
P00390,403,403_P00390,"""Glutathione reductase, mitochondrial""",GSR,2936
P48147,403,403_P48147,Prolyl endopeptidase,PREP,5550
P04792,404,404_P04792,Heat shock protein beta-1,HSPB1,3315
P47929,404,404_P47929,Galectin-7,LGALS7,3963
P42766,405,405_P42766,60S ribosomal protein L35,RPL35,11224
P47914,405,405_P47914,60S ribosomal protein L29,RPL29,6159
P42704,406,406_P42704,"""Leucine-rich PPR motif-containing protein, mitochondrial""",LRPPRC,10128
P46060,406,406_P46060,Ran GTPase-activating protein 1,RANGAP1,5905
O43847,407,407_O43847,Nardilysin,NRD1,4898
P45974,407,407_P45974,Ubiquitin carboxyl-terminal hydrolase 5,USP5,8078
P43246,408,408_P43246,DNA mismatch repair protein Msh2,MSH2,4436
P52701,408,408_P52701,DNA mismatch repair protein Msh6,MSH6,2956
P42765,409,409_P42765,"""3-ketoacyl-CoA thiolase, mitochondrial""",ACAA2,10449
Q9UFN0,409,409_Q9UFN0,Protein NipSnap homolog 3A,NIPSNAP3A,25934
O00560,41,41_O00560,Syntenin-1,SDCBP,6386
P30085,41,41_P30085,UMP-CMP kinase,CMPK1,51727
P51570,41,41_P51570,Galactokinase,GALK1,2584
Q15257,41,41_Q15257,Serine/threonine-protein phosphatase 2A activator,PTPA,5524
Q5T6V5,41,41_Q5T6V5,UPF0553 protein C9orf64,C9orf64,84267
P11387,410,410_P11387,DNA topoisomerase 1,TOP1,7150
P42677,410,410_P42677,40S ribosomal protein S27,RPS27,6232
P40925,411,411_P40925,"""Malate dehydrogenase, cytoplasmic""",MDH1,4190
P42126,411,411_P42126,"""Enoyl-CoA delta isomerase 1, mitochondrial""",ECI1,1632
P05386,412,412_P05386,60S acidic ribosomal protein P1,RPLP1,6176
P39023,412,412_P39023,60S ribosomal protein L3,RPL3,6122
P38646,413,413_P38646,"""Stress-70 protein, mitochondrial""",HSPA9,3313
Q96CN7,413,413_Q96CN7,Isochorismatase domain-containing protein 1,ISOC1,51015
P36957,414,414_P36957,"""Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial""",DLST,1743
Q02218,414,414_Q02218,"""2-oxoglutarate dehydrogenase, mitochondrial""",OGDH,4967
O75368,415,415_O75368,SH3 domain-binding glutamic acid-rich-like protein,SH3BGRL,6451
P36405,415,415_P36405,ADP-ribosylation factor-like protein 3,ARL3,403
P35613,416,416_P35613,Basigin,BSG,682
Q08722,416,416_Q08722,Leukocyte surface antigen CD47,CD47,961
P33241,417,417_P33241,Lymphocyte-specific protein 1,LSP1,4046
P35611,417,417_P35611,Alpha-adducin,ADD1,118
P35609,418,418_P35609,Alpha-actinin-2,ACTN2,88
Q9UKX2,418,418_Q9UKX2,Myosin-2,MYH2,4620
P35573,419,419_P35573,Glycogen debranching enzyme,AGL,178
Q92688,419,419_Q92688,Acidic leucine-rich nuclear phosphoprotein 32 family member B,ANP32B,10541
P25205,42,42_P25205,DNA replication licensing factor MCM3,MCM3,4172
P33991,42,42_P33991,DNA replication licensing factor MCM4,MCM4,4173
P33993,42,42_P33993,DNA replication licensing factor MCM7,MCM7,4176
P49736,42,42_P49736,DNA replication licensing factor MCM2,MCM2,4171
Q14566,42,42_Q14566,DNA replication licensing factor MCM6,MCM6,4175
P31146,420,420_P31146,Coronin-1A,CORO1A,11151
P34896,420,420_P34896,"""Serine hydroxymethyltransferase, cytosolic""",SHMT1,6470
